date,w_AAPL,w_MSFT,w_GOOG,w_AMZN,w_TSLA
2022-05-06,-0.2595695796570756,0.02293987666262217,0.4147960847609504,-0.03328520551369746,-0.2694092534056543
2022-05-09,-0.04549338087291393,0.00012103798231834158,0.42491675470410073,0.10817374382606953,-0.42129508261459747
2022-05-10,-0.45292339404117676,0.10650995800395006,0.27509007331835905,-0.07566517370196614,-0.08981140093454798
2022-05-11,0.2525296858419545,-0.1436007570868557,0.1355857140404527,0.22540532399091476,-0.2428785190398225
2022-05-12,0.03230521183320164,-0.1267067012117233,0.29510124382846625,0.2912930489523705,-0.25459379417423833
2022-05-13,-0.30614684088403954,0.09660092392323906,0.3039355075304146,-0.1162522720267397,-0.17706445563556725
2022-05-16,-0.3098144197153458,-0.018729185407587487,0.305475882856213,0.2313594667447671,-0.13462104527608662
2022-05-17,-0.37837438205642704,0.006460800611299239,0.427376795069814,0.05226831995918104,-0.1355197023032786
2022-05-18,0.018688001894747987,-0.07361520316583936,0.2865807062801471,0.32926621713275706,-0.29184987152650843
2022-05-19,-0.30423042656032073,0.013052049510754797,0.39481830408320134,0.11963465578701821,-0.16826456405870494
2022-05-20,-0.2016534787222554,-0.09359340347615898,0.31537526738616184,0.2624989926502222,-0.12687885776520144
2022-05-23,-0.519496042927287,0.14731887734620122,0.195098120118304,0.036557933330053444,-0.1015290262781542
2022-05-24,-0.13965961817510683,-0.12782892360460932,0.33562147155628946,0.2727749940306052,-0.12411499263338927
2022-05-25,-0.2566054616068184,-0.08628191090336453,0.43362474840151816,0.15897924385668477,-0.06450863523161428
2022-05-26,-0.24819443339735045,-0.20703942814460533,0.27558288373238343,0.14857167903648857,0.1206115756891722
2022-05-27,-0.42600008380309456,-0.05626270842629499,0.42995897957815465,-0.0016918120604223295,0.08608641613203342
2022-05-31,-0.22541099903230125,-0.19040401571039217,0.28189132638653175,0.25775100721797195,0.04454265165280302
2022-06-01,-0.35229843077291084,-0.06876102275730199,0.3089177551828473,0.2594182334696597,-0.01060455781728015
2022-06-02,-0.4383756121305568,-0.05985565398738313,0.3019091208426449,0.11914580501321206,0.08071380802620316
2022-06-03,-0.23666682790074087,-0.15884893210142512,0.11747151280240178,0.41354284662188956,0.07346988057354265
2022-06-06,-0.28719539239324865,-0.17020520334583286,0.24072264184693584,0.18967078440047114,0.1122059780135115
2022-06-07,-0.3291942761606851,-0.1326984621002037,0.2665748066167197,0.18349810777077064,0.088034347351621
2022-06-08,-0.2878473240204564,-0.14339624593426606,0.2961325352177861,0.21030591547719207,0.06231797935029945
2022-06-09,-0.28422375567008756,0.006254744613521049,0.3961612542700349,0.190067162727409,-0.12329308271894755
2022-06-10,-0.3411350470417183,0.13972482167151065,0.17533702763844045,0.23124448594246183,-0.11255861770586864
2022-06-13,-0.29360180945191383,0.04842354150523191,0.23461764438231186,0.3009335519423961,-0.12242345271814617
2022-06-14,-0.24711404972245832,-0.0745785450069287,0.3607749715997794,0.2207790245706403,-0.09675340910019334
2022-06-15,-0.2734107792401564,0.17046771991570753,0.27779323385242477,-0.11217078652048361,-0.16615748047122775
2022-06-16,-0.1403348789722051,-0.16531901936012403,0.24888980847964104,0.3807440153191446,-0.0647122778688852
2022-06-17,-0.16342224296944183,-0.011450690381692096,0.450341267294914,0.13230360087534154,-0.2424821984786105
2022-06-21,-0.3209675587357102,0.0028676242362030858,0.42882622416044874,0.11545726266254265,-0.1318813302050954
2022-06-22,-0.35570641141504306,-0.0029303055067041485,0.3744377993281792,0.16691941172884905,-0.10000607202122459
2022-06-23,-0.35242086463569827,-0.02417854965070385,0.4039767714514007,0.13214326799157816,-0.0872805462706188
2022-06-24,-0.4306618561735357,-0.004686965836271117,0.3556526611689396,0.16633504923396847,-0.04266346758728509
2022-06-27,-0.2798432864646181,0.001566486703592414,0.42469935363543937,0.11858944981842875,-0.17530142337792118
2022-06-28,-0.11804659878640597,-0.020178626997700545,0.4456426228674762,0.15471570349891806,-0.26141644784949924
2022-06-29,-0.3546941348675518,-0.043744466082095396,0.39483468736006,0.14336776887129002,-0.06335894281900267
2022-06-30,-0.1945652119684524,-0.08342173993093005,0.39043361412019867,0.19782467643449736,-0.13375475754592162
2022-07-01,-0.3268140283842761,-0.05804279760939317,0.3243081139390216,0.23102323959259974,-0.05981182047470944
2022-07-05,-0.48513470269447423,-0.010065615921091313,0.33971240430584404,0.16263092623346348,-0.002456350845126878
2022-07-06,-0.42981838158407054,-0.04292128754901719,0.2950937274436414,0.1926689747598879,0.039497628663383015
2022-07-07,-0.42036224684396767,-0.06492259819657278,0.2293104852919337,0.17807838514185204,0.10732628452567375
2022-07-08,-0.4133804919335686,-0.06849961027169145,0.2637286346775511,0.16343156491423316,0.0909596982029558
2022-07-11,-0.3480742172679669,-0.08830860224999233,0.2712247599885339,0.28213002315963887,0.010262397333868108
2022-07-12,-0.3183960668918014,-0.10041967774528514,0.3811603692955334,0.17133619939112807,-0.028687686676251923
2022-07-13,-0.3473319080840398,-0.09012992291872227,0.20384334297040926,0.2714669279495688,0.08722789807725972
2022-07-14,-0.3920852004646307,-0.04566618813358695,0.3386407847566164,0.20212038430171422,-0.02148744234345175
2022-07-15,-0.4443943125856246,-0.018642241731399844,0.35424299892287425,0.1676823011271386,-0.015038145632962732
2022-07-18,-0.35284510859199103,0.00026795799888012557,0.36444593486751414,0.1806727521063847,-0.10176824643522997
2022-07-19,-0.48685184859398173,0.03135415582288717,0.2950525059212432,0.09223564302485317,0.09450584663703482
2022-07-20,-0.4760812808405016,-0.0007614036468425339,0.32669493098395724,0.19376418795000053,0.0026981965786982043
2022-07-21,-0.4634242876272732,-0.028190853776121592,0.27297785400584473,0.16584296031863152,0.06956404427212876
2022-07-22,-0.301422046082222,-0.10264198776217896,0.25417303380941725,0.2748906711899855,0.06687226115619634
2022-07-25,-0.4475938125006489,-0.04378067120028803,0.1974153101478249,0.16758108443537315,0.14362912171586498
2022-07-26,-0.4482994431749367,0.023466179835483204,-0.0190702531677715,0.4047928763330541,0.10437124748875445
2022-07-27,0.10568792459360807,-0.0033924467181455946,0.35051771133685233,-0.5069753112150243,-0.03342660613636984
2022-07-28,0.14834606106214523,0.203576189708092,0.1662145409309612,-0.4079050856369591,-0.07395812266184246
